In Ancient Greece, Olympia was sacred ground to the Greeks.	Olympia bola pre starých Grékov posvätným územím.
The manual cutting is flexible and convenient, but the manual cutting quality is poor, the dimensional error is large, the material waste is large, the subsequent processing workload is large, the working conditions are bad, and the production efficiency is low.	Ručné rezanie je flexibilné a pohodlné, ale ručná kvalita rezania je nízka, chyba veľkosti je veľká, materiál je veľký odpad, následné zaťaženie spracovania je veľké a pracovný pomer je slabý, produktivita je nízka.
The medication contains just one active ingredient.	Liečivo obsahuje iba aktívne zložky.
4.4.1 The EESC welcomes the European Commission's elaboration of detailed proposals on labelling wines according to their provenance.	4.4.1 EHSV víta skutočnosť, že Komisia spresnila svoje návrhy na označovanie vína podľa jeho pôvodu.
Comfort, comfort and freedom of movement are important factors that influence the choice of women's underwear.	Komfort, pohodlie a voľnosť pohybu - to sú dôležité faktory ovplyvňujúce voľbu ženského spodného prádla.
Ordinary word	bežné slovo
“I was pretty flattered, but of course, you know I’m a fashion icon,” she said.	“Bol som veľmi lichotivý, ale samozrejme viete, že som módna ikona,” povedala.
16826/2007–OL which states: „Labelling, presentation and advertisement on food supplements must not declare abilities such as prevention, treatment of human diseases or refer to such abilities.“	16826/2007 – OL, v ktorom je uvedené: „Označovanie, prezentácia a reklama nesmie prisudzovať výživovým doplnkom schopnosť prevencie, liečby ľudských chorôb alebo odvolávať sa na také schopnosti.“
A miniature Trollbeads bracelet for your finger.	Miniatúrne náramok Trollbeads pre Vaše prsty.
Official promo picture for download:	Oficiálna promo fotka na stiahnutie:
You’ll gain a big 40 % compensation for each solitary sale, whatever your client orders, as well as with a typical value of over $120, you can anticipate to make commissions of $50 or even more on every sale!	Budete zarábať podstatný 40% províziu za každého osamelého predaji, bez ohľadu na vaše objednávky zákazníkov, a s typickou hodnote viac ako $ 120, môžete očakávať, že platby $ 50 alebo dokonca viac na každom jednotlivom predaji!
On 7 January 2016, the Commission received a response from the Polish Government (9) on the letter on the media law denying any adverse impact on media pluralism.	Dňa 7. januára 2016 dostala Komisia od poľskej vlády (9) odpoveď na list týkajúci sa zákona o médiách, v ktorom odmietla akýkoľvek jeho nepriaznivý účinok na pluralitu médií.
Do you want red or white?	Prajete si červenú alebo bielu?
I suppose I might as well mention the rest of the story while I'm at it, or else my mailbox will start filling up again: in 1993, Steinman and Meatloaf finally teamed up together again and recorded the album Bat out of Hell II -- Back to Hell.	Myslím, že môžem tiež spomenúť zvyšok príbehu, keď už som v tom, lebo inak sa mi opäť začne plniť poštová schránka: v roku 1993 sa Steinman a Meatloaf konečne spojili a nahrali platňu 'Bat out of Hell II - Back to Hell'.
If that were so, there would be no real criteria or boundaries and there would be a risk of arbitrariness.	Ak by tomu tak bolo, ne¬existovali by žiadne skutočné kritériá alebo hranice a existovalo by tu riziko svojvôle.
Why do we actually need them?	Prečo ich vlastne potrebujeme?
37 – As the Court said in paragraph 23 of its judgment, infringement proceedings ‘can relate only to a failure to comply with obligations arising from Community law’; the Court accordingly examined ‘whether the obligations owed by France which are the subject-matter of the action fall within the scope of Community law’.	37 – Ako uviedol Súdny dvor v bode 23 rozsudku, predmetom konania o nesplnenie povinnosti „môže byť iba nedodržanie povinností vyplývajúcich z práva Spoločenstva“; Súdny dvor preto posúdil, „či povinnosti, ktoré má Francúzsko a ktoré sú predmetom žaloby, sú súčasťou práva Spoločenstva“.
Ralf Gustav Dahrendorf, Baron Dahrendorf, (May 1, 1929 – June 17, 2009) was a German-British sociologist, philosopher, political scientist and liberal politician.	Ralf Gustav Dahrendorf (* 1. máj 1929, Hamburg, Nemecko – † 17. jún 2009, Kolín nad Rýnom) bol nemecko-britský sociológ, politológ, filozof a liberálny politik.
Peter Quilter is a West End and Broadway playwright whose plays have been translated into 27 languages and performed in over 40 countries.	Peter Quilter je jedným z najvýznamnejších a najúspešnejších komédiografov súčasnosti, autorom divadelných scén na West Ende a Broadwayi, ktorého hry boli preložené do 27 jazykov a uvedené vo viac ako štyridsiatich krajinách sveta.
A wide range of data is collected by Member States to implement EU Directives such as the Water Framework Directive, the Bathing Waters Directive, the Habitats Directive, and, most recently, the Marine Strategy Framework Directive.	Členské štáty zozbierajú pri vykonávaní smerníc (napríklad rámcovej smernice o vode, smernice o riadení kvality vody určenej na kúpanie, smernice o biotopoch, ako aj najnovšej rámcovej smernice o morskej stratégii) širokú škálu údajov.
Lots of research studies have revealed that oxandrolone has a really reduced degree of liver toxicity, and also, in therapeutic doses it does not have obvious impacts on the liver.	Mnohé výskumy sa zistilo, že v skutočnosti Oxandrolone má extrémne nízku úroveň otravy pečene, a tiež, v liečivých dávkach nemá zjavné účinky na pečeň.
In recent months the Commission has worked on scenarios to help identify the resources Member States can make available in the event of a major terrorist attack in another country.	Za posledné mesiace vypracovala Komisia scenáre, ktoré pomôžu stanoviť zdroje, ktoré môžu dať členské štáty k dispozícii v prípade veľkého teroristického útoku v inej krajine.
Windows 8 upgrade offer - Windows 8 special offer	Ponuka inovácie na systém Windows 8 - Špeciálna ponuka pre systém Windows 8
Five years ago, on 1 May 2004, 10 new Member States joined the European Union.	Pred piatimi rokmi, 1. mája 2004, vstúpilo do Európskej únie 10 nových členských štátov.
What is the Pitch (or “dot pitch” or “pixel pitch”)?	Čo je PITCH (alebo "Rozpätie bodky" alebo "Pixel Pitch")?
Nevidane, Croatia - General details	Nevidane, Chorvátsko - Všeobecné informácie
Should I stay here long?	Mala by som zostať tu tak dlho?
But that has changed: MINERVA-II1A is now called HIBOU, which is short for “Highly Intelligent Bouncing Observation Unit” and also French for “horned owl,” while its sibling is OWL (“Observation unit with intelligent Wheel Locomotion”), Japan Aerospace Exploration Agency (JAXA) officials announced yesterday (Dec. 13).	Ale to sa zmenilo: MINERVA-II1A je teraz nazývaný HIBOU, ktorý je krátky pre "Highly Intelligent Bouncing Observation Unit" a tiež pre francúzštinu "rohovú sovu", zatiaľ čo jeho súrodencom je OWL ("Observation unit with intelligent Wheel Locomotion" Včera (13. decembra) oznámili predstavitelia agentúry Aerospace Exploration Agency (JAXA).
I hope that the Commission will find time to examine this problem more closely in the overall context of the European economic stimulus plan.	Verím, že Komisia si nájde čas na podrobné preskúmanie tohto problému vo všeobecnej súvislosti s európskym plánom hospodárskych podnetov.
Papa Louie – a large virtual entrepreneur, having a plurality of catering.	Papa Louie – veľký virtuálny podnikateľ, majúce množstvo stravovanie.
If CFs from the default method are not available for certain flows (e.g. a group of chemicals) of the Resource Use and Emissions Profile, then other approaches may be used for characterising these flows.	Ak v rámci štandardnej metódy nie sú k dispozícii charakterizačné faktory pre určité toky (napr. pre skupinu chemikálií) profilu využívania zdrojov a emisií, potom je na charakterizáciu týchto tokov možné použiť iné prístupy.
I see. something like this wouldn't just fall from the sky for no reason.	Chápem. niečo takéto by bez dôvodu nespadlo z neba.
Foreigners currently hold 5% of Emirates NBD shares and Dubai’s government 55.76%, according stock exchange data.	Podľa burzových údajov v súčasnosti cudzinci vlastnia 5% akcií Emirates NBD a dubajská vláda 55,76%.
15.2.A consolidated financial statement of the ESCB shall be published each week.	15.2. Konsolidovaná účtovná uzávierka ESCB sa zverejňuje každý týždeň.
Commission Regulation (EC) No 850/2008 [3] opens the procedure for the allocation of export licences for cheese to be exported to the United States of America in 2009 under the GATT quotas referred to in Article 23 of Regulation (EC) No 1282/2006.	Nariadením Komisie (ES) č. 850/2008 [3] sa otvára konanie o udelení vývozných povolení na syr, ktorý sa má vyvážať do Spojených štátov amerických v roku 2009 v rámci kvót podľa GATT uvedených v článku 23 nariadenia (ES) č. 1282/2006.
iPod touch (5th generation 16 GB, Mid 2013)	iPod touch (5. generácia, 16 GB, polovica roka 2013)
The natural enzyme is in a bacterium called Ideonella sakaiensis, which researchers recently found was degrading PET in a Japanese waste recycling center.	Prirodzený enzým je v baktérii Ideonella sakaiensis, ktorú nedávno našli výskumní pracovníci, ktorí degradujú PET flaše v japonskom centre na recykláciu odpadu.
she has been working in law firm Brázdil & Brázdilová from 2000, while she has been a member of the Slovak Bar Association from 2004 and works as an attorney	od roku 2000 pracuje v AK Brázdil &Brázdilová, pričom od roku 2004 je členkou SAK a pracuje ako advokátka
Evolution of the price of the currency Armenia Dram compared with the currency price Iranian Rial	Vývoj ceny meny Iránskej Rial v porovnaní s menou ceny Arménsko Dera
You can take some time to discover the surrounding area and sights like Lande Viaduct and Charles Leandre Museum.	Nechajte si čas na objavovanie okolia a jeho zaujímavostí, ako sú Lande Viaduct a Múzeum Charles Leandre.
